race,income,parent_ed,raw_sat_score,cluster,cluster_percentile,adjusted_sat_score,score_boost
White,Q3,Bachelor,470,28,0.3353828954723309,480,10
White,Q5,HS,500,6,0.33617212012550424,480,-20
White,Q5,HS,500,6,0.33617212012550424,480,-20
Hispanic,Q2,HS,470,29,0.34461152882205515,490,20
Asian,Q2,HS,470,29,0.34461152882205515,490,20
Hispanic,Q5,Grad,520,31,0.3460207612456747,490,-30
Black,Q1,No HS,430,15,0.34812880765883375,490,60
White,Q4,Bachelor,500,16,0.34908700322234154,490,-10
White,Q4,Bachelor,500,16,0.34908700322234154,490,-10
Two,Q1,Grad,450,9,0.3571428571428571,490,40
Black,Q1,Grad,450,9,0.3571428571428571,490,40
Asian,Q3,No HS,490,14,0.36199095022624433,490,0
White,Q1,HS,450,19,0.36855036855036855,490,40
Asian,Q3,Grad,640,27,0.3699788583509514,490,-150
Asian,Q3,Grad,640,27,0.3699788583509514,490,-150
Black,Q5,No HS,460,18,0.37243947858473,490,30
Hispanic,Q3,Bachelor,480,26,0.3727369542066028,490,10
Hispanic,Q3,Bachelor,480,26,0.3727369542066028,490,10
Hispanic,Q2,No HS,450,22,0.37735849056603776,490,40
Black,Q1,Bachelor,470,17,0.38338658146964855,500,30
Hispanic,Q4,Bachelor,480,3,0.3834355828220859,500,20
White,Q3,Grad,500,23,0.3875968992248062,500,0
Black,Q4,Bachelor,470,30,0.39034776437189495,500,30
Black,Q4,No HS,470,30,0.39034776437189495,500,30
Asian,Q5,Bachelor,510,12,0.390625,500,-10
Black,Q3,Bachelor,480,28,0.39128004471771943,500,20
Hispanic,Q1,HS,480,10,0.3919007184846506,500,20
White,Q2,Grad,470,20,0.3929273084479371,500,30
Hispanic,Q4,Grad,510,25,0.39463299131807417,500,-10
White,Q5,Bachelor,560,2,0.3951944356623459,500,-60
White,Q5,Bachelor,560,2,0.3951944356623459,500,-60
AIAN,Q4,HS,470,1,0.3979739507959479,500,30
White,Q4,HS,470,1,0.3979739507959479,500,30
White,Q4,HS,470,1,0.3979739507959479,500,30
White,Q4,HS,470,1,0.3979739507959479,500,30
Asian,Q4,Grad,530,32,0.40192926045016075,500,-30
White,Q3,Associate,520,21,0.4028436018957346,500,-20
White,Q2,Associate,520,21,0.4028436018957346,500,-20
Black,Q5,HS,440,33,0.4043126684636118,500,60
Hispanic,Q5,HS,460,11,0.405982905982906,500,40
Hispanic,Q5,HS,460,11,0.405982905982906,500,40
Hispanic,Q5,HS,460,11,0.405982905982906,500,40
Hispanic,Q4,HS,460,11,0.405982905982906,500,40
Hispanic,Q4,HS,460,11,0.405982905982906,500,40
Hispanic,Q5,HS,460,11,0.405982905982906,500,40
Hispanic,Q5,HS,460,11,0.405982905982906,500,40
Hispanic,Q4,HS,460,11,0.405982905982906,500,40
Hispanic,Q3,Grad,480,4,0.41025641025641024,500,20
White,Q2,Bachelor,490,7,0.41050903119868637,500,10
White,Q4,Grad,510,13,0.41109969167523125,500,-10
White,Q4,No HS,510,13,0.41109969167523125,500,-10
White,Q4,Grad,510,13,0.41109969167523125,500,-10
Black,Q5,Bachelor,500,0,0.411522633744856,500,0
Black,Q5,Bachelor,500,0,0.411522633744856,500,0
Black,Q5,Bachelor,500,0,0.411522633744856,500,0
Hispanic,Q5,Bachelor,490,8,0.41908446163765317,500,10
Hispanic,Q5,Bachelor,490,8,0.41908446163765317,500,10
Hispanic,Q5,Grad,530,31,0.4201680672268907,510,-20
Hispanic,Q5,Grad,530,31,0.4201680672268907,510,-20
White,Q5,Grad,610,5,0.4222222222222222,510,-100
White,Q5,Grad,610,5,0.4222222222222222,510,-100
White,Q3,HS,480,24,0.42735042735042733,510,30
White,Q3,HS,480,24,0.42735042735042733,510,30
White,Q4,Bachelor,520,16,0.4296455424274973,510,-10
Black,Q2,HS,450,15,0.4351610095735422,510,60
White,Q2,HS,480,29,0.43859649122807015,510,30
White,Q5,No HS,470,18,0.44227188081936686,510,40
White,Q5,No HS,470,18,0.44227188081936686,510,40
White,Q3,Bachelor,500,28,0.4471771939631079,510,10
White,Q5,HS,520,6,0.4482294935006723,510,-10
White,Q5,HS,520,6,0.4482294935006723,510,-10
White,Q5,HS,520,6,0.4482294935006723,510,-10
Asian,Q3,Associate,500,14,0.45248868778280543,510,10
Hispanic,Q1,Grad,490,10,0.457217504898759,510,20
White,Q5,Bachelor,580,2,0.45842554536832125,510,-70
White,Q5,Bachelor,580,2,0.45842554536832125,510,-70
Hispanic,Q4,Bachelor,500,3,0.4601226993865031,520,20
Asian,Q5,Bachelor,550,12,0.46875,520,-30
Black,Q1,Grad,480,9,0.47619047619047616,520,40
Black,Q1,Bachelor,480,17,0.4792332268370607,520,40
Black,Q1,Bachelor,480,17,0.4792332268370607,520,40
Two,Q4,Bachelor,530,16,0.4833512352309345,520,-10
White,Q3,Grad,520,23,0.4844961240310078,520,0
White,Q2,Grad,490,20,0.4911591355599214,520,30
White,Q2,Bachelor,500,7,0.4926108374384236,520,20
Hispanic,Q5,Grad,540,31,0.49431537320810676,520,-20
Black,Q4,Associate,480,30,0.4968062455642299,520,40
Hispanic,Q2,HS,490,29,0.5012531328320802,530,40
Black,Q3,Bachelor,510,28,0.5030743432084964,530,20
Hispanic,Q3,Grad,490,4,0.5128205128205128,530,40
Hispanic,Q2,Grad,520,25,0.5130228887134964,530,10
Hispanic,Q4,Grad,520,25,0.5130228887134964,530,10
White,Q4,Grad,520,13,0.513874614594039,530,10
White,Q2,Associate,530,21,0.5213270142180094,530,0
White,Q3,Associate,530,21,0.5213270142180094,530,0
Hispanic,Q5,Associate,530,21,0.5213270142180094,530,0
Black,Q2,Grad,460,15,0.5221932114882506,530,70
White,Q5,HS,530,6,0.5378753922008068,530,0
Hispanic,Q5,Grad,550,31,0.5437469105289174,540,-10
White,Q3,HS,490,24,0.5439005439005439,540,50
Asian,Q5,Bachelor,580,12,0.546875,540,-40
White,Q1,HS,480,19,0.5528255528255528,540,60
White,Q1,HS,480,19,0.5528255528255528,540,60
White,Q5,Bachelor,590,2,0.5532722099272842,540,-50
White,Q5,Bachelor,590,2,0.5532722099272842,540,-50
White,Q5,Bachelor,590,2,0.5532722099272842,540,-50
White,Q5,Bachelor,590,2,0.5532722099272842,540,-50
Hispanic,Q1,HS,500,10,0.5551926845199217,540,40
Hispanic,Q1,Bachelor,500,10,0.5551926845199217,540,40
Asian,Q1,Grad,520,9,0.5555555555555556,540,20
Two,Q2,No HS,480,18,0.5586592178770949,540,60
Asian,Q5,No HS,480,18,0.5586592178770949,540,60
White,Q1,No HS,480,18,0.5586592178770949,540,60
Asian,Q4,Associate,570,32,0.5627009646302251,540,-30
Asian,Q4,HS,570,32,0.5627009646302251,540,-30
Asian,Q4,Bachelor,570,32,0.5627009646302251,540,-30
White,Q4,Bachelor,540,16,0.5639097744360902,540,0
NHPI,Q4,Bachelor,540,16,0.5639097744360902,540,0
Hispanic,Q2,Bachelor,470,22,0.5660377358490566,540,70
Hispanic,Q2,Bachelor,470,22,0.5660377358490566,540,70
Black,Q4,Associate,490,30,0.5677785663591199,540,50
White,Q2,Bachelor,520,7,0.5747126436781609,540,20
Hispanic,Q4,Bachelor,520,3,0.5751533742331288,540,20
Hispanic,Q4,Bachelor,520,3,0.5751533742331288,540,20
White,Q5,Grad,620,5,0.5777777777777778,540,-80
White,Q5,Grad,620,5,0.5777777777777778,540,-80
White,Q5,Grad,620,5,0.5777777777777778,540,-80
White,Q5,Grad,620,5,0.5777777777777778,540,-80
White,Q5,Grad,620,5,0.5777777777777778,540,-80
Hispanic,Q5,Bachelor,510,8,0.5802707930367506,550,40
Hispanic,Q5,Bachelor,510,8,0.5802707930367506,550,40
Hispanic,Q5,Bachelor,510,8,0.5802707930367506,550,40
White,Q5,HS,540,6,0.5826983415508741,550,10
Hispanic,Q3,Bachelor,510,26,0.5857294994675186,550,40
Hispanic,Q3,Bachelor,510,26,0.5857294994675186,550,40
Black,Q3,Bachelor,520,28,0.5869200670765791,550,30
White,Q3,Bachelor,520,28,0.5869200670765791,550,30
Asian,Q3,No HS,530,14,0.5882352941176471,550,20
Asian,Q1,HS,530,14,0.5882352941176471,550,20
Two,Q4,Grad,550,13,0.590955806783145,550,0
White,Q4,No HS,550,13,0.590955806783145,550,0
Hispanic,Q5,Grad,560,31,0.5931784478497281,550,-10
White,Q2,Associate,540,21,0.6161137440758293,550,10
Hispanic,Q5,HS,470,11,0.6196581196581197,550,80
Hispanic,Q5,HS,470,11,0.6196581196581197,550,80
White,Q3,HS,500,24,0.6216006216006216,560,60
Asian,Q2,Bachelor,590,12,0.625,560,-30
Hispanic,Q2,HS,500,29,0.6265664160401002,560,60
Hispanic,Q2,HS,500,29,0.6265664160401002,560,60
Asian,Q2,HS,500,29,0.6265664160401002,560,60
White,Q3,Grad,540,23,0.6298449612403101,560,20
White,Q3,Grad,540,23,0.6298449612403101,560,20
Hispanic,Q2,Grad,540,25,0.6314127861089187,560,20
Asian,Q2,Grad,650,27,0.6342494714587739,560,-90
Asian,Q5,Grad,650,27,0.6342494714587739,560,-90
Asian,Q5,Grad,650,27,0.6342494714587739,560,-90
White,Q1,Grad,550,9,0.6349206349206349,560,10
Black,Q1,Bachelor,490,17,0.6389776357827476,560,70
Black,Q1,Bachelor,490,17,0.6389776357827476,560,70
White,Q1,Bachelor,490,17,0.6389776357827476,560,70
White,Q4,Bachelor,550,16,0.6444683136412459,560,10
White,Q4,HS,520,1,0.6512301013024602,560,40
White,Q4,HS,520,1,0.6512301013024602,560,40
White,Q4,HS,520,1,0.6512301013024602,560,40
Black,Q2,Grad,480,15,0.6527415143603132,560,80
Black,Q1,Associate,480,15,0.6527415143603132,560,80
Two,Q2,Bachelor,530,7,0.6568144499178982,560,30
Hispanic,Q5,Associate,550,21,0.6635071090047393,570,20
Hispanic,Q3,Grad,510,4,0.6666666666666666,570,60
Hispanic,Q3,Grad,510,4,0.6666666666666666,570,60
Black,Q5,Grad,580,31,0.6673257538309441,570,-10
Black,Q5,Grad,580,31,0.6673257538309441,570,-10
White,Q5,HS,550,6,0.6723442402510085,570,20
White,Q5,HS,550,6,0.6723442402510085,570,20
White,Q5,HS,550,6,0.6723442402510085,570,20
Black,Q4,HS,500,30,0.674237047551455,570,70
Black,Q4,Bachelor,500,30,0.674237047551455,570,70
Black,Q5,No HS,500,18,0.6750465549348231,570,70
AIAN,Q5,No HS,500,18,0.6750465549348231,570,70
White,Q5,Bachelor,600,2,0.6797344293392349,570,-30
White,Q5,Bachelor,600,2,0.6797344293392349,570,-30
White,Q5,Bachelor,600,2,0.6797344293392349,570,-30
White,Q5,Bachelor,600,2,0.6797344293392349,570,-30
Black,Q5,Bachelor,510,0,0.6858710562414266,570,60
White,Q2,Grad,510,20,0.6876227897838899,570,60
White,Q2,Grad,510,20,0.6876227897838899,570,60
White,Q2,Grad,510,20,0.6876227897838899,570,60
White,Q4,Bachelor,560,16,0.6981740064446831,570,10
Black,Q3,Bachelor,530,28,0.6987143655673561,570,40
White,Q3,Bachelor,530,28,0.6987143655673561,570,40
Asian,Q1,Grad,560,9,0.7142857142857142,580,20
Hispanic,Q4,HS,480,11,0.7264957264957265,580,100
Hispanic,Q5,HS,480,11,0.7264957264957265,580,100
Hispanic,Q3,HS,480,11,0.7264957264957265,580,100
White,Q1,HS,490,19,0.7371007371007371,580,90
White,Q3,HS,510,24,0.7381507381507382,580,70
Black,Q3,HS,510,24,0.7381507381507382,580,70
Hispanic,Q5,Bachelor,520,8,0.7414571244358479,590,70
Hispanic,Q5,Bachelor,520,8,0.7414571244358479,590,70
Asian,Q3,Bachelor,600,12,0.7421875,590,-10
Asian,Q3,Bachelor,600,12,0.7421875,590,-10
White,Q4,Grad,560,13,0.7451181911613567,590,30
White,Q4,Grad,560,13,0.7451181911613567,590,30
White,Q4,Grad,560,13,0.7451181911613567,590,30
White,Q4,Grad,560,13,0.7451181911613567,590,30
White,Q2,HS,510,29,0.7518796992481203,590,80
Hispanic,Q2,Bachelor,480,22,0.7547169811320755,590,110
White,Q5,Grad,630,5,0.7555555555555555,590,-40
White,Q5,Grad,630,5,0.7555555555555555,590,-40
White,Q5,Grad,630,5,0.7555555555555555,590,-40
White,Q4,Associate,560,21,0.7582938388625592,590,30
White,Q4,Associate,560,21,0.7582938388625592,590,30
White,Q4,Associate,560,21,0.7582938388625592,590,30
White,Q5,HS,560,6,0.761990138951143,590,30
Hispanic,Q5,Grad,600,31,0.7661888284725654,590,-10
Black,Q5,Grad,600,31,0.7661888284725654,590,-10
White,Q1,Bachelor,500,17,0.7667731629392971,590,90
Hispanic,Q4,No HS,550,3,0.7668711656441718,590,40
Hispanic,Q4,Bachelor,550,3,0.7668711656441718,590,40
Hispanic,Q4,Associate,550,3,0.7668711656441718,590,40
White,Q5,Bachelor,610,2,0.774581093898198,590,-20
White,Q5,Bachelor,610,2,0.774581093898198,590,-20
White,Q3,Grad,590,23,0.7751937984496124,590,0
White,Q2,Bachelor,540,7,0.779967159277504,590,50
White,Q2,Bachelor,540,7,0.779967159277504,590,50
Black,Q4,Bachelor,510,30,0.7806955287437899,600,90
Hispanic,Q3,No HS,520,26,0.7987220447284346,600,80
Hispanic,Q3,Bachelor,520,26,0.7987220447284346,600,80
Asian,Q4,Bachelor,600,32,0.8038585209003215,600,0
Asian,Q4,HS,600,32,0.8038585209003215,600,0
Asian,Q4,HS,600,32,0.8038585209003215,600,0
Black,Q5,HS,450,33,0.8086253369272236,600,150
Black,Q1,HS,450,33,0.8086253369272236,600,150
Black,Q1,HS,450,33,0.8086253369272236,600,150
Black,Q1,HS,450,33,0.8086253369272236,600,150
Black,Q1,HS,450,33,0.8086253369272236,600,150
White,Q3,Bachelor,550,28,0.810508664058133,600,50
Black,Q3,Bachelor,550,28,0.810508664058133,600,50
Asian,Q3,HS,540,14,0.8144796380090498,600,60
Asian,Q5,HS,540,14,0.8144796380090498,600,60
Asian,Q3,No HS,540,14,0.8144796380090498,600,60
White,Q2,HS,520,29,0.8145363408521302,600,80
White,Q5,No HS,510,18,0.8147113594040968,600,90
White,Q2,No HS,510,18,0.8147113594040968,600,90
Hispanic,Q5,No HS,510,18,0.8147113594040968,600,90
White,Q3,No HS,510,18,0.8147113594040968,600,90
AIAN,Q3,Grad,520,4,0.8205128205128205,610,90
Black,Q5,Bachelor,530,0,0.823045267489712,610,80
Asian,Q1,Bachelor,510,17,0.8306709265175718,610,100
Hispanic,Q5,Grad,610,31,0.8403361344537814,610,0
Asian,Q5,Grad,660,27,0.8456659619450317,610,-50
Hispanic,Q1,No HS,510,10,0.8491182233834096,610,100
Hispanic,Q1,Bachelor,510,10,0.8491182233834096,610,100
Hispanic,Q1,HS,510,10,0.8491182233834096,610,100
Hispanic,Q1,Bachelor,510,10,0.8491182233834096,610,100
Hispanic,Q1,Grad,510,10,0.8491182233834096,610,100
Hispanic,Q1,Bachelor,510,10,0.8491182233834096,610,100
Hispanic,Q1,Bachelor,510,10,0.8491182233834096,610,100
White,Q5,HS,570,6,0.8516360376512774,610,40
White,Q5,HS,570,6,0.8516360376512774,610,40
White,Q5,HS,570,6,0.8516360376512774,610,40
White,Q4,Bachelor,570,16,0.8592910848549946,610,40
White,Q4,Bachelor,570,16,0.8592910848549946,610,40
Two,Q4,Bachelor,570,16,0.8592910848549946,610,40
White,Q4,Bachelor,570,16,0.8592910848549946,610,40
White,Q4,Bachelor,570,16,0.8592910848549946,610,40
Asian,Q3,Bachelor,620,12,0.859375,610,-10
White,Q1,HS,500,19,0.85995085995086,610,110
White,Q4,HS,530,1,0.8683068017366136,620,90
White,Q4,HS,530,1,0.8683068017366136,620,90
White,Q4,HS,530,1,0.8683068017366136,620,90
Black,Q1,Grad,570,9,0.873015873015873,620,50
White,Q1,Grad,570,9,0.873015873015873,620,50
White,Q1,Grad,570,9,0.873015873015873,620,50
Hispanic,Q3,HS,490,11,0.8760683760683761,620,130
Hispanic,Q3,HS,490,11,0.8760683760683761,620,130
Hispanic,Q5,HS,490,11,0.8760683760683761,620,130
Hispanic,Q3,HS,490,11,0.8760683760683761,620,130
White,Q2,HS,530,29,0.8771929824561403,620,90
White,Q2,Grad,520,20,0.8840864440078585,620,100
White,Q5,Grad,640,5,0.888888888888889,620,-20
White,Q5,Grad,640,5,0.888888888888889,620,-20
White,Q5,Grad,640,5,0.888888888888889,620,-20
White,Q3,HS,520,24,0.8935508935508936,620,100
White,Q3,HS,520,24,0.8935508935508936,620,100
White,Q3,Bachelor,560,28,0.8943543879262158,620,60
White,Q5,Bachelor,620,2,0.9010433133101486,630,10
White,Q5,Bachelor,620,2,0.9010433133101486,630,10
White,Q5,Bachelor,620,2,0.9010433133101486,630,10
White,Q5,Bachelor,620,2,0.9010433133101486,630,10
White,Q5,Bachelor,620,2,0.9010433133101486,630,10
White,Q5,Bachelor,620,2,0.9010433133101486,630,10
Hispanic,Q5,Bachelor,530,8,0.9026434558349452,630,100
Hispanic,Q5,Bachelor,530,8,0.9026434558349452,630,100
Hispanic,Q5,Bachelor,530,8,0.9026434558349452,630,100
White,Q2,Bachelor,550,7,0.90311986863711,630,80
Hispanic,Q4,Grad,550,25,0.9076558800315706,630,80
Hispanic,Q4,Grad,550,25,0.9076558800315706,630,80
Hispanic,Q2,Grad,550,25,0.9076558800315706,630,80
Hispanic,Q2,Grad,550,25,0.9076558800315706,630,80
Hispanic,Q4,Grad,550,25,0.9076558800315706,630,80
Hispanic,Q2,Grad,550,25,0.9076558800315706,630,80
Black,Q1,No HS,490,15,0.9138381201044385,630,140
Black,Q2,Grad,490,15,0.9138381201044385,630,140
Black,Q3,Associate,490,15,0.9138381201044385,630,140
Black,Q1,No HS,490,15,0.9138381201044385,630,140
Hispanic,Q4,No HS,560,3,0.9202453987730062,630,70
White,Q3,Grad,600,23,0.9205426356589148,630,30
White,Q3,Grad,600,23,0.9205426356589148,630,30
Black,Q4,Bachelor,520,30,0.9226401703335699,630,110
Black,Q4,Grad,520,30,0.9226401703335699,630,110
Black,Q4,Grad,520,30,0.9226401703335699,630,110
Hispanic,Q5,Associate,570,21,0.924170616113744,630,60
Two,Q2,Associate,570,21,0.924170616113744,630,60
White,Q3,Associate,570,21,0.924170616113744,630,60
AIAN,Q3,Associate,570,21,0.924170616113744,630,60
White,Q4,Grad,570,13,0.9249743062692704,630,60
White,Q4,Grad,570,13,0.9249743062692704,630,60
White,Q4,Grad,570,13,0.9249743062692704,630,60
Hispanic,Q2,Bachelor,500,22,0.9433962264150944,640,140
Hispanic,Q2,Bachelor,500,22,0.9433962264150944,640,140
Hispanic,Q3,Bachelor,530,26,0.9584664536741214,640,110
Black,Q5,Bachelor,550,0,0.9602194787379973,640,90
White,Q5,HS,580,6,0.9636934110264455,640,60
White,Q5,HS,580,6,0.9636934110264455,640,60
Hispanic,Q2,HS,540,29,0.9711779448621554,640,100
White,Q2,HS,540,29,0.9711779448621554,640,100
Hispanic,Q3,Grad,570,4,0.9743589743589743,640,70
Black,Q3,Grad,570,4,0.9743589743589743,640,70
Asian,Q2,Bachelor,630,12,0.9765625,640,10
Asian,Q3,Bachelor,630,12,0.9765625,640,10
White,Q3,Bachelor,570,28,0.9782001117942986,640,70
White,Q3,Bachelor,570,28,0.9782001117942986,640,70
White,Q2,Bachelor,570,7,0.9852216748768472,650,80
