race,income,parent_ed,raw_sat_score
White,Q5,No HS,1320
Black,Q4,Associate,1090
Black,Q5,HS,1030
White,Q4,Bachelor,1390
White,Q3,Grad,1290
White,Q5,HS,920
Black,Q3,Grad,1360
Hispanic,Q2,Grad,730
White,Q1,Grad,990
White,Q4,Bachelor,1160
Hispanic,Q5,HS,1140
Hispanic,Q1,HS,700
Hispanic,Q1,HS,860
Hispanic,Q5,Bachelor,950
Asian,Q5,HS,980
Hispanic,Q5,Bachelor,1230
White,Q5,Bachelor,1310
White,Q5,HS,1130
White,Q2,Bachelor,1190
Hispanic,Q3,Grad,1340
Hispanic,Q5,HS,1370
White,Q5,No HS,1200
White,Q2,Grad,1440
White,Q4,Grad,1310
White,Q4,Associate,1090
White,Q2,HS,610
White,Q5,Bachelor,1210
Hispanic,Q2,No HS,1010
White,Q1,Bachelor,1080
White,Q4,Grad,1170
White,Q5,No HS,1130
Hispanic,Q4,Bachelor,1190
Black,Q5,HS,1330
White,Q4,HS,1220
White,Q3,HS,1220
White,Q5,HS,910
Hispanic,Q3,Grad,1180
Two,Q4,Grad,980
Hispanic,Q4,Grad,1240
Hispanic,Q4,HS,1120
White,Q5,Bachelor,1000
White,Q4,Bachelor,1000
Hispanic,Q5,No HS,1170
Hispanic,Q4,Bachelor,590
Hispanic,Q2,No HS,840
White,Q5,Bachelor,1080
Hispanic,Q5,Bachelor,840
White,Q5,Associate,1500
Two,Q5,Bachelor,1020
Hispanic,Q5,Grad,1470
Asian,Q1,HS,980
Hispanic,Q5,No HS,680
Asian,Q4,Grad,990
White,Q3,Grad,1240
Black,Q1,Bachelor,1060
Asian,Q3,Grad,1040
Asian,Q4,HS,760
Asian,Q3,Bachelor,1170
White,Q1,Associate,960
White,Q3,HS,1020
Hispanic,Q5,No HS,850
White,Q3,Grad,1000
Asian,Q2,HS,1130
Black,Q5,Grad,1010
Hispanic,Q5,Bachelor,1230
Hispanic,Q5,HS,1120
Asian,Q3,HS,960
White,Q3,Grad,1100
Asian,Q5,Bachelor,1120
White,Q5,Grad,1130
White,Q4,HS,560
Hispanic,Q5,HS,960
Black,Q4,Grad,840
Hispanic,Q3,Bachelor,1100
White,Q2,Grad,1470
White,Q5,HS,1210
Black,Q5,HS,440
Black,Q5,Grad,1310
White,Q5,Bachelor,1340
White,Q2,Bachelor,1070
White,Q2,HS,810
White,Q3,HS,1390
Asian,Q5,Grad,950
White,Q1,Bachelor,1340
Black,Q5,Bachelor,1110
White,Q1,Bachelor,1450
White,Q5,Associate,760
Hispanic,Q2,Bachelor,1030
White,Q4,HS,1140
Hispanic,Q3,Grad,1220
AIAN,Q3,Grad,660
Hispanic,Q2,Bachelor,1160
White,Q5,Bachelor,1060
Asian,Q2,Bachelor,1020
Two,Q4,HS,1230
White,Q1,Associate,1330
Black,Q4,Bachelor,890
White,Q3,No HS,860
Asian,Q5,HS,1180
Black,Q3,Grad,1480
Asian,Q4,HS,1190
Asian,Q1,Bachelor,1270
AIAN,Q4,Grad,750
White,Q1,Bachelor,780
White,Q1,Bachelor,860
White,Q2,HS,920
Hispanic,Q5,Grad,1240
White,Q5,HS,1350
White,Q5,HS,1090
Hispanic,Q5,Bachelor,740
White,Q5,Grad,1550
Asian,Q5,HS,870
White,Q4,HS,900
White,Q5,Bachelor,1090
Asian,Q1,HS,860
Hispanic,Q2,Grad,1470
Black,Q4,Bachelor,1220
White,Q3,Associate,960
Hispanic,Q1,Bachelor,1130
Black,Q5,Grad,780
Asian,Q3,Bachelor,830
White,Q2,Associate,1170
Hispanic,Q5,Bachelor,1430
White,Q5,Grad,1100
White,Q5,HS,1000
Hispanic,Q5,HS,1100
White,Q5,No HS,770
White,Q5,Grad,900
White,Q1,HS,1520
Hispanic,Q5,HS,1280
Two,Q4,Bachelor,830
Asian,Q4,Bachelor,1290
White,Q5,HS,1100
White,Q4,Bachelor,990
White,Q5,Grad,1080
Asian,Q3,Bachelor,920
White,Q2,HS,700
Black,Q3,Bachelor,1070
White,Q4,Bachelor,1300
White,Q3,HS,770
Hispanic,Q4,Grad,780
AIAN,Q4,Bachelor,1310
Black,Q4,HS,770
Hispanic,Q4,Grad,1140
Black,Q4,HS,1140
White,Q5,Bachelor,1230
White,Q3,Grad,1560
White,Q5,Grad,990
Hispanic,Q4,Associate,1340
White,Q5,Bachelor,870
White,Q1,HS,1310
Hispanic,Q5,HS,580
Asian,Q5,HS,1020
Hispanic,Q5,Grad,1020
White,Q5,No HS,1090
White,Q2,HS,850
Hispanic,Q5,Bachelor,1340
White,Q4,HS,650
White,Q4,Bachelor,1220
Hispanic,Q3,HS,1180
White,Q5,Grad,800
White,Q5,Bachelor,1070
Two,Q3,Grad,1230
Black,Q4,Bachelor,860
White,Q2,HS,980
Hispanic,Q2,Bachelor,1020
White,Q5,HS,1040
Hispanic,Q1,No HS,950
Hispanic,Q3,HS,1150
Two,Q5,Grad,1050
White,Q5,Grad,1060
Hispanic,Q1,No HS,1000
Hispanic,Q5,Bachelor,1390
White,Q2,Bachelor,1110
Black,Q1,Bachelor,570
Two,Q1,Grad,990
Hispanic,Q5,HS,960
White,Q2,Grad,1480
White,Q4,HS,1290
White,Q5,HS,940
White,Q5,HS,1130
Black,Q4,HS,910
Black,Q1,Grad,1180
Hispanic,Q3,Bachelor,770
Two,Q5,Grad,1090
White,Q5,Grad,960
White,Q1,Grad,1020
White,Q4,Grad,890
Black,Q5,HS,970
White,Q1,Bachelor,940
White,Q5,HS,1170
Hispanic,Q5,No HS,1350
Black,Q4,HS,1280
Hispanic,Q5,Bachelor,1150
White,Q5,Associate,1050
White,Q2,Bachelor,850
White,Q4,No HS,1190
Two,Q5,Grad,1060
White,Q2,HS,1220
Asian,Q5,No HS,1090
White,Q3,Bachelor,1250
White,Q4,Grad,970
Hispanic,Q3,HS,790
White,Q3,Grad,940
Asian,Q5,HS,830
Hispanic,Q5,Bachelor,1100
White,Q1,Grad,1430
Two,Q5,Bachelor,1230
Black,Q3,HS,1040
White,Q2,Bachelor,1090
Black,Q5,HS,580
Black,Q3,HS,980
Hispanic,Q5,Grad,970
White,Q3,Bachelor,850
Black,Q4,HS,1030
Hispanic,Q4,Grad,940
White,Q4,Grad,1120
Hispanic,Q4,Grad,1070
White,Q5,Bachelor,1470
White,Q3,HS,790
Black,Q5,HS,940
Hispanic,Q4,Bachelor,900
Asian,Q3,Grad,1060
White,Q5,HS,1290
Hispanic,Q5,Bachelor,1050
White,Q2,Grad,1190
Hispanic,Q4,Grad,1070
Hispanic,Q5,Bachelor,1500
White,Q5,Bachelor,1110
White,Q2,Bachelor,730
Hispanic,Q4,HS,1010
White,Q5,HS,1230
Two,Q3,Bachelor,1120
White,Q2,Bachelor,980
Asian,Q1,HS,1200
White,Q2,No HS,1050
Hispanic,Q5,Grad,1380
Hispanic,Q4,Associate,1220
Hispanic,Q3,Grad,1110
Hispanic,Q1,HS,1140
White,Q2,Grad,850
Hispanic,Q1,Bachelor,1170
White,Q2,HS,1310
White,Q1,Bachelor,860
Black,Q4,Grad,1040
White,Q1,HS,1040
White,Q4,Bachelor,1300
Hispanic,Q2,Grad,920
White,Q1,HS,840
White,Q5,Grad,890
White,Q3,Bachelor,1530
White,Q5,Grad,1370
White,Q2,Grad,1100
Black,Q5,No HS,700
Black,Q3,Bachelor,1100
White,Q3,Bachelor,980
Black,Q3,Grad,610
Hispanic,Q3,Bachelor,1380
White,Q5,Grad,1270
White,Q2,HS,940
Black,Q5,No HS,600
Hispanic,Q2,HS,880
Hispanic,Q5,No HS,1150
White,Q5,No HS,1240
Black,Q2,Bachelor,910
White,Q3,HS,880
Hispanic,Q2,Grad,1560
White,Q3,Grad,850
Hispanic,Q3,Grad,1070
White,Q2,No HS,1020
Hispanic,Q4,HS,1130
White,Q2,Grad,900
White,Q4,Bachelor,1160
Hispanic,Q3,No HS,1280
White,Q4,Grad,1480
Hispanic,Q3,Grad,1020
Asian,Q3,No HS,920
Black,Q2,HS,1030
Hispanic,Q5,No HS,1190
White,Q1,Grad,1190
White,Q4,Bachelor,1190
Asian,Q2,Bachelor,930
Hispanic,Q2,Bachelor,790
White,Q5,No HS,1190
White,Q5,Bachelor,1350
Asian,Q2,Grad,1090
Two,Q3,HS,960
White,Q5,HS,880
Hispanic,Q4,HS,880
Hispanic,Q5,HS,860
White,Q5,Grad,780
Hispanic,Q5,Bachelor,1250
Hispanic,Q5,Grad,820
Black,Q2,Bachelor,880
White,Q4,Bachelor,1100
Hispanic,Q4,Bachelor,1220
White,Q3,Grad,1320
Black,Q4,Grad,1120
White,Q3,HS,760
White,Q5,Grad,1310
White,Q1,Bachelor,1230
Two,Q4,Grad,910
White,Q3,Grad,670
Hispanic,Q5,Grad,1480
Black,Q4,HS,1110
White,Q1,HS,1130
White,Q3,No HS,1030
Hispanic,Q2,Grad,1000
White,Q3,Bachelor,1390
White,Q3,HS,890
Hispanic,Q1,Grad,1180
Hispanic,Q3,Associate,1060
Hispanic,Q4,Grad,500
Asian,Q5,Grad,1580
Asian,Q3,HS,1300
Hispanic,Q5,Grad,1020
White,Q5,Bachelor,1240
White,Q5,No HS,890
Black,Q1,HS,400
Hispanic,Q5,Grad,1300
Hispanic,Q3,HS,1480
Hispanic,Q5,Grad,1220
White,Q5,Bachelor,1100
Black,Q1,No HS,1120
Two,Q5,HS,1110
Asian,Q2,Bachelor,640
Asian,Q1,HS,1010
White,Q2,No HS,980
White,Q4,Grad,820
Hispanic,Q3,HS,870
Asian,Q3,HS,900
White,Q2,Bachelor,1420
White,Q3,Grad,1070
Hispanic,Q5,Bachelor,1130
Asian,Q3,Grad,1110
Hispanic,Q5,HS,720
White,Q4,Grad,1110
Hispanic,Q3,HS,1390
White,Q3,Grad,1080
White,Q3,Grad,540
White,Q3,Bachelor,830
Black,Q3,HS,900
Hispanic,Q3,Grad,1100
Black,Q4,No HS,980
Hispanic,Q5,Associate,910
Black,Q5,Bachelor,900
Hispanic,Q4,Bachelor,1080
White,Q3,HS,600
Hispanic,Q4,Grad,960
White,Q1,Grad,1030
Asian,Q4,HS,910
Black,Q4,HS,620
Hispanic,Q4,Associate,1100
Hispanic,Q5,Grad,1370
Hispanic,Q4,Bachelor,1080
White,Q5,Grad,1120
Black,Q5,Bachelor,1350
White,Q1,Bachelor,880
Black,Q3,Grad,870
White,Q2,Grad,1120
White,Q5,HS,1460
White,Q5,HS,1100
Asian,Q5,Grad,870
White,Q5,Bachelor,1490
White,Q4,No HS,760
White,Q4,Bachelor,910
White,Q1,Bachelor,840
Asian,Q2,Bachelor,1120
White,Q3,Grad,870
Hispanic,Q2,Bachelor,1300
White,Q5,Grad,750
Black,Q2,Bachelor,940
White,Q3,Bachelor,990
White,Q4,HS,1170
Hispanic,Q5,HS,910
Hispanic,Q4,No HS,1040
White,Q4,Grad,1260
Black,Q5,Grad,1120
Asian,Q5,No HS,1260
Asian,Q4,Associate,980
White,Q5,Grad,1360
White,Q5,Grad,860
White,Q4,HS,1020
Hispanic,Q5,Grad,1260
Black,Q4,No HS,1270
White,Q5,Associate,920
Two,Q3,HS,1000
Hispanic,Q3,Bachelor,1240
White,Q1,Bachelor,950
Asian,Q2,Grad,1250
White,Q5,Bachelor,1380
White,Q3,Bachelor,1140
Hispanic,Q4,No HS,980
White,Q4,Grad,610
Hispanic,Q2,Grad,720
White,Q2,Grad,1110
White,Q5,HS,1570
Hispanic,Q5,No HS,1030
Black,Q5,HS,990
Black,Q1,Grad,950
Two,Q2,Bachelor,1080
White,Q5,Grad,880
Asian,Q5,No HS,1290
Hispanic,Q5,Bachelor,710
White,Q3,Bachelor,1010
Asian,Q4,Bachelor,840
White,Q1,Grad,1220
Two,Q4,Bachelor,830
White,Q5,Grad,960
Hispanic,Q4,Bachelor,1200
Two,Q5,Grad,1510
White,Q2,HS,690
Two,Q2,Grad,680
White,Q1,HS,720
White,Q3,Grad,1350
Hispanic,Q3,Bachelor,1190
Hispanic,Q4,HS,1190
Hispanic,Q2,HS,1260
Hispanic,Q4,Grad,1100
White,Q3,Grad,900
Hispanic,Q4,HS,800
White,Q3,Bachelor,1010
White,Q4,Bachelor,820
White,Q3,Grad,1170
White,Q5,Bachelor,1170
Asian,Q4,Grad,1010
White,Q4,HS,930
Hispanic,Q5,Bachelor,1110
Hispanic,Q3,No HS,670
Asian,Q5,Bachelor,1190
Hispanic,Q5,Bachelor,1070
Hispanic,Q1,Bachelor,1220
Hispanic,Q5,Associate,1040
White,Q4,HS,1000
White,Q4,HS,740
Asian,Q2,Bachelor,1210
Hispanic,Q5,No HS,1060
Hispanic,Q4,Grad,1200
White,Q5,No HS,800
Asian,Q4,No HS,1020
White,Q5,Bachelor,1420
White,Q4,Bachelor,1230
White,Q5,Grad,1360
White,Q5,HS,1240
White,Q1,Grad,1070
White,Q4,Bachelor,900
Asian,Q3,Associate,1200
Hispanic,Q5,Bachelor,910
White,Q5,HS,1390
Hispanic,Q2,HS,1000
White,Q3,HS,1220
White,Q5,HS,1330
Hispanic,Q2,Bachelor,730
White,Q1,Grad,1020
White,Q2,Grad,1410
White,Q3,Bachelor,1040
Black,Q5,HS,820
White,Q3,HS,1050
White,Q4,HS,590
White,Q4,HS,940
White,Q5,Grad,1290
Hispanic,Q3,Grad,980
Hispanic,Q2,HS,870
Black,Q1,Bachelor,860
Hispanic,Q4,Associate,810
White,Q5,Bachelor,1090
White,Q5,HS,1090
Black,Q5,HS,720
Asian,Q5,Bachelor,1070
White,Q1,Grad,990
Asian,Q5,HS,1250
White,Q1,Grad,1190
Black,Q3,Bachelor,880
Asian,Q5,Grad,1000
Asian,Q4,Grad,1110
Hispanic,Q1,Bachelor,900
Hispanic,Q3,Grad,1040
Black,Q5,Bachelor,1390
Black,Q1,HS,800
White,Q1,No HS,780
White,Q3,Grad,820
White,Q2,HS,890
White,Q3,Associate,1370
Asian,Q3,HS,880
AIAN,Q4,Grad,850
Two,Q5,Bachelor,1490
White,Q5,Grad,1250
White,Q3,Grad,800
Hispanic,Q1,Grad,660
White,Q5,Grad,1050
Hispanic,Q4,Bachelor,1070
White,Q5,Grad,950
Hispanic,Q1,Grad,1280
White,Q2,Bachelor,840
White,Q5,Grad,1430
Hispanic,Q4,Bachelor,1100
White,Q1,No HS,1200
Hispanic,Q5,HS,1510
White,Q4,Grad,920
Two,Q1,Bachelor,1170
White,Q3,HS,980
White,Q5,Associate,1140
Hispanic,Q1,Grad,900
White,Q5,HS,1380
Black,Q2,Bachelor,1180
Hispanic,Q4,HS,1320
Asian,Q1,Bachelor,940
White,Q3,No HS,760
White,Q3,HS,900
Black,Q1,Bachelor,1140
White,Q1,Bachelor,1210
White,Q2,HS,980
White,Q5,HS,1020
Asian,Q1,Grad,1070
White,Q3,Bachelor,1120
Hispanic,Q5,Grad,1010
Hispanic,Q5,HS,1040
Hispanic,Q3,HS,1110
White,Q5,Bachelor,1430
Hispanic,Q4,Bachelor,1220
White,Q5,Bachelor,1110
Hispanic,Q1,Bachelor,1000
White,Q4,HS,850
White,Q4,HS,940
Hispanic,Q3,Bachelor,910
White,Q4,HS,1300
Black,Q4,HS,810
White,Q2,Associate,1520
White,Q1,HS,950
Hispanic,Q5,Grad,1370
White,Q5,Bachelor,1050
White,Q5,Grad,1300
Hispanic,Q4,HS,870
White,Q3,Bachelor,1290
Hispanic,Q4,Grad,1230
Black,Q4,Bachelor,1140
Two,Q3,Grad,930
Hispanic,Q5,Bachelor,1310
White,Q5,HS,860
Hispanic,Q5,Bachelor,1180
Hispanic,Q5,HS,950
White,Q5,No HS,550
White,Q2,Bachelor,840
Asian,Q3,HS,1000
White,Q2,Bachelor,1230
Hispanic,Q5,HS,750
Hispanic,Q5,Bachelor,1230
White,Q5,Associate,950
White,Q4,Bachelor,1130
White,Q5,Grad,950
Two,Q4,HS,1320
Hispanic,Q5,Bachelor,1120
Two,Q4,Bachelor,800
Asian,Q4,HS,980
White,Q5,HS,1010
Asian,Q1,Bachelor,810
Asian,Q4,Bachelor,1210
Hispanic,Q2,HS,740
White,Q4,Grad,1370
White,Q4,Bachelor,1130
White,Q5,Grad,1240
White,Q5,Bachelor,1190
Hispanic,Q5,Grad,1420
Black,Q2,Bachelor,1090
White,Q2,HS,1160
Hispanic,Q5,Grad,940
White,Q5,HS,1490
Hispanic,Q2,Grad,730
White,Q3,HS,1060
Hispanic,Q3,HS,850
White,Q3,Grad,890
Black,Q4,HS,1080
White,Q2,HS,1080
White,Q4,Bachelor,1320
White,Q5,Bachelor,1000
AIAN,Q5,Grad,1110
White,Q5,Bachelor,930
Asian,Q5,HS,1130
White,Q5,Bachelor,1250
Hispanic,Q5,HS,1020
Hispanic,Q5,Bachelor,1240
Hispanic,Q4,Bachelor,1090
White,Q3,Grad,980
White,Q2,Bachelor,1290
White,Q2,Bachelor,970
Hispanic,Q5,Bachelor,950
Black,Q3,HS,1360
White,Q4,Grad,1120
Hispanic,Q5,Bachelor,1320
Hispanic,Q4,HS,710
Black,Q5,Bachelor,920
Black,Q2,HS,520
White,Q4,No HS,1210
White,Q5,Bachelor,1210
Hispanic,Q5,Bachelor,840
Black,Q4,Grad,1330
Hispanic,Q5,HS,1090
Hispanic,Q3,Bachelor,1000
White,Q5,HS,1350
Hispanic,Q5,HS,870
White,Q3,HS,880
White,Q1,Associate,980
White,Q5,Bachelor,760
White,Q4,Bachelor,1190
Asian,Q3,Bachelor,810
White,Q3,No HS,660
White,Q5,No HS,1120
White,Q3,HS,1170
Hispanic,Q3,Bachelor,1010
Black,Q3,HS,1040
White,Q2,Grad,1090
White,Q2,Bachelor,1320
White,Q4,HS,840
White,Q1,Bachelor,1060
Hispanic,Q1,No HS,1180
Hispanic,Q5,Bachelor,1250
Hispanic,Q4,Bachelor,1000
White,Q1,HS,570
White,Q5,Bachelor,1600
Hispanic,Q5,Grad,740
White,Q4,No HS,1120
White,Q5,Bachelor,1290
Hispanic,Q5,HS,730
Asian,Q4,HS,1500
Hispanic,Q5,No HS,1170
White,Q5,Bachelor,1320
White,Q5,Grad,750
